,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
395,4292037,Centro,Cortes,40.41091,-3.69481,Entire home/apt,50,2,232,2.89,4,325
396,4295642,Centro,Justicia,40.42329,-3.69624,Entire home/apt,65,3,197,2.41,1,268
397,4305310,Centro,Palacio,40.42041,-3.70874,Entire home/apt,95,2,51,0.63,3,274
398,1341870,Centro,Universidad,40.42609,-3.70399,Entire home/apt,129,2,122,1.88,1,33
399,4211443,Centro,Embajadores,40.41343,-3.70669,Private room,65,2,4,0.05,3,0
400,4280501,Centro,Embajadores,40.411,-3.70493,Private room,59,1,361,5.02,1,273
401,4305310,Centro,Palacio,40.41991,-3.71037,Entire home/apt,75,3,49,0.62,3,217
402,2333408,San Blas - Canillejas,Salvador,40.44163,-3.63629,Private room,12,2,4,0.08,1,0
403,4354906,Centro,Embajadores,40.41023,-3.69755,Entire home/apt,65,5,36,0.45,1,230
404,4356259,Chamberí,Almagro,40.43611,-3.69688,Entire home/apt,65,3,8,0.13,2,345
405,4292037,Centro,Universidad,40.42571,-3.70393,Entire home/apt,55,2,165,2.02,4,319
406,4365768,Barajas,Timón,40.46906,-3.58387,Entire home/apt,110,1,159,2.05,1,181
407,4190662,Puente de Vallecas,San Diego,40.39791,-3.6689,Private room,25,2,108,1.54,1,80
408,153391,Centro,Sol,40.42011,-3.7071,Entire home/apt,67,1,218,2.7,6,20
409,4310374,Moncloa - Aravaca,Argüelles,40.42698,-3.71473,Entire home/apt,125,1,134,1.72,1,335
410,4281126,Retiro,Jerónimos,40.40764,-3.68445,Private room,25,1,469,5.95,4,298
411,4281126,Retiro,Jerónimos,40.40785,-3.68407,Private room,20,1,188,2.3,4,173
412,4084426,Centro,Universidad,40.42183,-3.70278,Entire home/apt,130,1,3,0.05,2,290
413,4084426,Centro,Universidad,40.42128,-3.70171,Entire home/apt,90,1,24,0.38,2,157
414,4279976,Moncloa - Aravaca,Ciudad Universitaria,40.44802,-3.70885,Entire home/apt,96,7,6,0.08,1,109
415,3298293,Salamanca,Recoletos,40.42306,-3.68651,Entire home/apt,200,3,14,0.78,1,360
